channelNumb,JulianDay,PossibleDecayLength(MicroSeconds),StartDecay,EndDecay,FirstSignalTimeOverThreshold(nanoseconds),SecondSignalTimeoverThreshold(nanoseconds),PossibleDecayNumber
6899.4,2460440,0.82751,0.877087583,0.877087583,35.01,21.25,1
6899.2,2460440,5.8025,0.877667079,0.877667079,23.75,7.49,1
6899.2,2460440,0.425,0.879637946,0.879637946,30,8.74,1
6899.4,2460440,2.81876,0.881271204,0.881271205,72.51,11.25,1
6899.2,2460440,1.555,0.884694534,0.884694534,26.24,26.25,1
6899.4,2460440,1.64501,0.886236754,0.886236754,25.02,16.25,1
6899.1,2460440,9.71624,0.888182664,0.888182664,28.74,17.5,1
6899.4,2460440,3.51625,0.888390842,0.888390842,38.76,21.25,1
6899.1,2460440,0.76249,0.889449093,0.889449093,36.25,30,1
6899.1,2460440,0.52876,0.892306126,0.892306126,30,26.24,1
6899.2,2460440,1.1775,0.896399931,0.896399931,27.5,40,1
6899.2,2460440,1.78,0.896842659,0.896842659,27.5,30,1
6899.3,2460440,4.68749,0.896929456,0.896929456,34.98,15,1
6899.4,2460440,1.35749,0.897028313,0.897028313,48.75,15,1
6899.2,2460440,3.30875,0.898195401,0.898195401,23.74,18.74,1
6899.1,2460440,0.90377,0.899018356,0.899018356,27.51,19.99,1
6899.4,2460440,1.55375,0.899168593,0.899168593,22.49,11.26,1
6899.1,2460440,8.61377,0.899945717,0.899945717,30,20,1
6899.1,2460440,1.0075,0.900175304,0.900175304,23.75,26.27,1
6899.2,2460440,8.72501,0.900378571,0.900378571,42.5,27.49,1
6899.4,2460440,3.34874,0.901073116,0.901073116,40,25,1
6899.2,2460440,2.89376,0.901263398,0.901263398,51.25,8.76,1
6899.2,2460440,1.87377,0.901511572,0.901511572,32.51,23.75,1
6899.1,2460440,6.32874,0.90483648,0.90483648,33.73,18.74,1
6899.3,2460440,5.45,0.905234156,0.905234156,23.74,15,1
6899.2,2460440,0.46751,0.906161229,0.906161229,31.24,19.98,1
6899.2,2460440,2.04126,0.906274813,0.906274813,27.5,27.5,1
6899.2,2460440,1.33251,0.906347069,0.906347069,30,18.73,1
6899.2,2460440,0.38001,0.906423575,0.906423575,35.01,28.76,1
6899.3,2460440,2.43877,0.906600764,0.906600764,42.51,30,1
