channelNumb,JulianDay,PossibleDecayLength(MicroSeconds),StartDecay,EndDecay,FirstSignalTimeOverThreshold(nanoseconds),SecondSignalTimeoverThreshold(nanoseconds),PossibleDecayNumber
6899.4,2459722,16.57625,0.54290352,0.54290352,19.99,16.24,1
6899.4,2459722,16.3,0.543121922,0.543121922,15.01,26.25,1
6899.1,2459722,0.74126,0.544078657,0.544078657,37.51,18.74,1
6899.2,2459722,2.98374,0.544524963,0.544524963,38.74,20.01,1
6899.1,2459722,3.05376,0.546464057,0.546464057,34.99,17.5,1
6899.4,2459722,5.815,0.547993197,0.547993197,31.26,22.51,1
6899.4,2459722,3.4275,0.548330296,0.548330296,32.5,10,1
6899.1,2459722,1.10624,0.548367437,0.548367437,21.24,28.75,1
6899.4,2459722,1.495,0.549158111,0.549158111,33.76,17.5,1
6899.2,2459722,5.37749,0.550662017,0.550662017,42.49,23.76,1
6899.2,2459722,3.72125,0.551737133,0.551737133,33.76,10,1
6899.1,2459722,17.80749,0.552107874,0.552107874,15,27.5,1
6899.4,2459722,1.1875,0.553164164,0.553164164,31.26,18.75,1
6899.1,2459722,4.7575,0.554575941,0.554575941,36.25,12.5,1
6899.1,2459722,0.48376,0.55481126,0.55481126,31.26,40,1
6899.1,2459722,4.39125,0.556780276,0.556780276,18.75,10,1
6899.4,2459722,2.02,0.557367787,0.557367787,41.26,21.26,1
6899.1,2459722,11.96125,0.55808357,0.55808357,24.99,10,1
6899.1,2459722,2.36875,0.55914934,0.55914934,37.5,27.5,1
6899.1,2459722,16.915,0.560017743,0.560017743,11.26,25,1
6899.1,2459722,2.04875,0.561082768,0.561082768,16.24,23.74,1
6899.1,2459722,5.47874,0.562213524,0.562213524,26.24,21.26,1
6899.4,2459722,5.1575,0.562598524,0.562598524,37.51,32.5,1
6899.1,2459722,0.7775,0.562785531,0.562785531,40,8.75,1
6899.1,2459722,0.625,0.56414823,0.56414823,30,17.5,1
6899.2,2459722,13.9975,0.566072799,0.566072799,45,22.49,1
6899.1,2459722,1.2575,0.566095334,0.566095334,39.99,21.25,1
6899.4,2459722,6.84875,0.570160617,0.570160617,34.99,28.75,1
6899.4,2459722,0.8775,0.570289433,0.570289433,30,22.5,1
6899.1,2459722,0.92,0.571210009,0.571210009,28.75,13.75,1
6899.4,2459722,0.54875,0.571645507,0.571645507,25,18.74,1
6899.4,2459722,1.44625,0.572127007,0.572127007,43.75,12.5,1
6899.4,2459722,1.66501,0.572139847,0.572139847,31.25,13.75,1
6899.4,2459722,2.20375,0.5725382,0.5725382,28.76,16.25,1
6899.2,2459722,1.51625,0.573549752,0.573549752,20,41.26,1
6899.1,2459722,3.01375,0.575005837,0.575005837,26.24,11.25,1
6899.1,2459722,6.55124,0.577404602,0.577404602,33.75,27.5,1
6899.1,2459722,0.63125,0.577472882,0.577472882,26.25,16.25,1
6899.4,2459722,4.68874,0.578954781,0.578954781,32.49,28.76,1
6899.1,2459722,1.87625,0.579263273,0.579263273,28.76,16.25,1
6899.4,2459722,0.35625,0.580642911,0.580642911,32.5,22.5,1
6899.1,2459722,1.38501,0.581634899,0.581634899,30,15,1
6899.1,2459722,1.62376,0.582841697,0.582841697,25.01,8.74,1
6899.4,2459722,1.00125,0.583323153,0.583323153,30,31.24,1
6899.4,2459722,2.02375,0.583906426,0.583906426,35,31.25,1
6899.3,2459722,5.815,0.587776053,0.587776053,33.76,19.99,1
6899.2,2459722,11.33375,0.588382289,0.588382289,23.75,12.5,1
6899.1,2459722,16.37125,0.588527314,0.588527314,25,28.75,1
6899.2,2459722,1.92875,0.588718367,0.588718368,30,23.75,1
6899.1,2459722,14.87751,0.589015996,0.589015996,12.51,10,1
6899.1,2459722,3.23125,0.58967869,0.58967869,25,16.25,1
6899.1,2459722,0.3,0.5914107,0.5914107,26.24,28.76,1
6899.2,2459722,3.60375,0.591793899,0.591793899,22.5,21.25,1
6899.1,2459722,0.62374,0.592005822,0.592005822,36.25,28.76,1
6899.2,2459722,1.77,0.592440578,0.592440578,31.24,28.75,1
6899.2,2459722,2.57001,0.592616604,0.592616604,30,14.99,1
6899.4,2459722,0.35375,0.593987193,0.593987193,34.99,27.51,1
6899.1,2459722,1.44126,0.595379911,0.595379911,27.51,17.5,1
6899.2,2459722,0.50375,0.596015036,0.596015036,30,28.75,1
6899.2,2459722,5.57,0.597530011,0.597530011,45,21.26,1
6899.2,2459722,1.38625,0.598446061,0.598446061,26.25,13.75,1
6899.3,2459722,2.95124,0.599303356,0.599303356,41.24,27.5,1
6899.2,2459722,1.6875,0.600924854,0.600924854,40.01,20,1
6899.1,2459722,1.91499,0.602582467,0.602582467,27.5,33.76,1
