#,channelNumb,JulianDay,PossibleDecayLength(MicroSeconds),StartDecay,EndDecay,FirstSignalTimeOverThreshold(nanoseconds),SecondSignalTimeoverThreshold(nanoseconds),PossibleDecayNumber
6899,2,2458256,7.27124,0.397358765,0.397358765,30,23.76,1
6899,4,2458256,7.2675,0.397358765,0.397358765,21.25,18.75,1
6899,1,2458256,0.62376,0.397373466,0.397373466,35,18.75,1
6899,2,2458256,0.62624,0.397373466,0.397373466,47.51,11.25,1
6899,4,2458256,7.4625,0.398218122,0.398218122,22.5,22.5,1
6899,1,2458256,1.76624,0.398577432,0.398577432,32.49,30,1
6899,2,2458256,1.76626,0.398577432,0.398577432,40,27.5,1
6899,4,2458256,3.275,0.398880779,0.398880779,47.51,36.24,1
6899,3,2458256,3.2775,0.398880779,0.398880779,37.5,36.24,1
6899,4,2458256,3.27,0.399718728,0.399718728,17.5,18.76,1
